id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5790883,Charmant studio avec sdb privée,5693815,Ludny Et Dalil,,Ahuntsic-Cartierville,45.548484867411155,-73.67118484513618,Entire home/apt,45,7,3,2015-09-14,0.80,1,334
444529,Montreal Fabulous Apt.,1750622,Sheila,,Ahuntsic-Cartierville,45.56080626601804,-73.66900236874139,Entire home/apt,64,1,91,2015-09-26,2.26,3,335
4977588,Cozy room in lively neighborhood,25656853,Gabriel,,Ahuntsic-Cartierville,45.559528266592245,-73.66241539906972,Private room,40,1,4,2015-09-04,0.48,1,88
4141234,Appartement près d'Henri Bourassa,21483089,Raphaelle,,Ahuntsic-Cartierville,45.55005207858602,-73.67560800237725,Entire home/apt,65,1,0,,,1,353
3322460,Chambre à louer - femmes seulement,16774661,Mélissa,,Ahuntsic-Cartierville,45.55526508069468,-73.67024072744283,Private room,64,1,0,,,1,365
6610869,Grande maison au coeur des services,22991016,Denis,,Ahuntsic-Cartierville,45.54932810162967,-73.66451151424806,Entire home/apt,116,4,1,2015-08-03,0.49,1,99
6162989,Grande et lumineuse chambre,31972063,Marie-Josée Et Bruno,,Ahuntsic-Cartierville,45.54665669341026,-73.67346630877904,Private room,45,1,0,,,1,133
8273813,La nature a 15 min du centre ville,37722695,Nicolas,,Ahuntsic-Cartierville,45.51062168341001,-73.75252274754327,Private room,70,1,0,,,1,365
4849272,"Appartement chaleureux, bien situé.",6402123,Marie-Claude,,Ahuntsic-Cartierville,45.530127520587314,-73.72000339476679,Entire home/apt,100,3,0,,,1,337
5929003,Cottage freshly renovated ,19070395,Isabelle,,Ahuntsic-Cartierville,45.56020921928642,-73.65203966782713,Entire home/apt,142,5,0,,,1,152
7780323,Belle grande chambre double,40934895,Andrea,,Ahuntsic-Cartierville,45.54021466020864,-73.64386434990999,Private room,23,1,7,2015-09-26,5.25,1,345
7518154,Chambre à louer maison privée,1327466,Marie Gyby,,Ahuntsic-Cartierville,45.528327270954115,-73.70125018050949,Private room,45,1,1,2015-08-05,0.51,4,365
8271413,Chambre a louer Montreal Ahuntsic,7663825,Carine,,Ahuntsic-Cartierville,45.54582752197059,-73.66259500919166,Private room,109,1,0,,,1,9
7665131,Room in family house,37590127,Jamila,,Ahuntsic-Cartierville,45.55323234300278,-73.66060289795993,Private room,33,1,0,,,2,356
1717705,Studio in Montreal,6049121,France Et Benjamin,,Ahuntsic-Cartierville,45.547971967046664,-73.68038060591537,Entire home/apt,40,7,36,2015-09-21,1.53,1,275
4863426,Grand et lumineux appartement ,6990006,Michèle,,Ahuntsic-Cartierville,45.56762952325407,-73.66109187061276,Entire home/apt,120,5,5,2015-09-05,0.80,2,347
7337296,Comfy & quiet appartment like home,3629248,Swana,,Ahuntsic-Cartierville,45.551193944347524,-73.63951090963234,Entire home/apt,58,1,2,2015-08-24,1.07,1,305
6403396,Warm international ambiance,8245458,Anne Marie,,Ahuntsic-Cartierville,45.54961972130612,-73.63789435183088,Private room,54,1,0,,,1,365
6092066,Nice and well maintained apartment,31615696,Rafael,,Ahuntsic-Cartierville,45.560672862032,-73.66785724559257,Private room,80,1,0,,,1,365
4863242,MONTREAL CONDO NEUF LUXUEUX 3 1/2,24773796,Mounir,,Ahuntsic-Cartierville,45.53243532356917,-73.67796838203446,Entire home/apt,103,2,0,,,1,364
406701,The countryside in Town.,2026285,Isabelle,,Ahuntsic-Cartierville,45.54271793371117,-73.69885020204504,Entire home/apt,250,4,1,2015-08-09,0.55,1,365
5337683,"Spacieux, tranquille & abordable ",27662840,Rita,,Ahuntsic-Cartierville,45.548914506581085,-73.63782383340684,Entire home/apt,70,7,0,,,1,362
